name,email
Alice Johnson,alice.johnson@example.com
Bob Smith,bob.smith@example.com
Carol White,carol.white@example.com
David Brown,david.brown@example.com
Eva Martin,eva.martin@example.com
Frank Wright,frank.wright@example.com
Grace Hall,grace.hall@example.com
Henry Allen,henry.allen@example.com
Isabel Scott,isabel.scott@example.com
Jack Lee,jack.lee@example.com
Karen Walker,karen.walker@example.com
Louis King,louis.king@example.com
Monica James,monica.james@example.com
Nathan Ford,nathan.ford@example.com
Olivia Harris,olivia.harris@example.com
Peter Young,peter.young@example.com
Quinn Taylor,quinn.taylor@example.com
Rachel Green,rachel.green@example.com
Steven Hall,steven.hall@example.com
Tina Brown,tina.brown@example.com
Uma Wilson,uma.wilson@example.com
Victor Stone,victor.stone@example.com
Wendy Adams,wendy.adams@example.com
Xavier York,xavier.york@example.com
Yvonne Watson,yvonne.watson@example.com
Zack Ray,zack.ray@example.com
